course_id,credits,course_name_zh,course_name_en,instructor_zh,instructor_en,department_zh,department_en,time,time_en,location,course_type,language,is_core,changes,notes
000314051,3.0,初級會計學（一）,Fundamental Accounting (I),張祐慈,CHANG YU-TZU,會計系,Department of Accounting,一78E,mon16-19,研究250206,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:會一甲，不接受加簽。本課程於114.1.4(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。
000314061,3.0,初級會計學（一）,Fundamental Accounting (I),黃政仁,HUANG CHENG-JEN,會計系,Department of Accounting,一78E,mon16-19,商館260313,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:會一乙，不接受加簽。本課程於114.1.4(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。
000314071,3.0,初級會計學（一）,Fundamental Accounting (I),林禹銘,LIN I-MIN,會計系,Department of Accounting,一EFG,mon18-21,大勇210206,必/Required,中文,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:金融一，加簽規則請參照教學大綱，請勿來信詢問 ，第一堂課請務必出席。本課程於114.1.4(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。
000314081,3.0,初級會計學（一）,Fundamental Accounting (I),林禹銘,LIN I-MIN,會計系,Department of Accounting,二EFG,tue18-21,大勇210206,必/Required,中文,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:國貿一乙，加簽規則請參照教學大綱，請勿來信詢問 ，第一堂課請務必出席。本課程於114.1.4(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。
000314091,3.0,初級會計學（一）,Fundamental Accounting (I),梁嘉紋,LIANG JIA-WEN,會計系,Department of Accounting,三234,wed09-12,研究250308,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:統計二，下學期未開連續之初會(二)。第一堂課未能出席者，請勿修習。本課程於114.1.4(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。本課程選課名額已提高至教室容量上限，請透過選課系統加選。
000314101,3.0,初級會計學（一）,Fundamental Accounting (I),戚務君,CHI WU-CHUN,會計系,Department of Accounting,三234,wed09-12,學思040103,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:資管一甲，第一堂務必出席。本課程於114.1.4(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。
000314111,3.0,初級會計學（一）,Fundamental Accounting (I),翁嘉祥,WENG CHIA-HSIANG,會計系,Department of Accounting,三234,wed09-12,人偉講堂,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:企管一甲，本課程於114.1.4(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。
000314121,3.0,初級會計學（一）,Fundamental Accounting (I),翁嘉祥,WENG CHIA-HSIANG,會計系,Department of Accounting,三78E,wed16-19,商館260306,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:教室異動於2024/08/27;,＠備註Note:企管一乙，下學期張祐慈老師。本課程於114.1.4(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。
000314131,3.0,初級會計學（一）,Fundamental Accounting (I),潘健民,PAN CHIEN-MIN,會計系,Department of Accounting,三EFG,wed18-21,商館260106,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:資管一乙，課程規則（包括加簽等各種事項）請參照教學大綱，請透過選課系統自行選課，請勿來信詢問。。本課程於114.1.4(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。
000314141,3.0,初級會計學（一）,Fundamental Accounting (I),何怡澄,HO YI-CHENG,會計系,Department of Accounting,四234,thu09-12,資訊140206,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:財政一乙，實習課四1。本課程於114.1.4(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。
000314151,3.0,初級會計學（一）,Fundamental Accounting (I),陳宇紳,CHEN YU SHEN,會計系,Department of Accounting,四D56,thu13-16,商館260311,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:國貿一甲，第一堂課請務必出席。本課程於114.1.4(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。修課人數已達教室可容納人數，不接受加簽，請勿來信。
000318011,3.0,初級會計學（二）,Fundamental Accounting (II),徐愛恩,STEPHANIE TSUI,會計系,Department of Accounting,五D56,fri13-16,人偉講堂,必/Required,英文/English,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:擋修初會(一)，英語授課，ETP優先。非同步遠距教學。
000323011,3.0,中級會計學（一）,Intermediate Accounting (I),潘健民,PAN CHIEN-MIN,會計系,Department of Accounting,四234,thu09-12,商館260106,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:會二乙、財管二，擋修初會(二)。本課程不簽擋修單，本課程選課人數已超過教室規定容量上限，不開放加簽。
000323021,3.0,中級會計學（一）,Intermediate Accounting (I),陳明進,CHEN MING-CHIN,會計系,Department of Accounting,四234,thu09-12,逸仙050101,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:會二甲、財政三，擋修初會(一)、初會(二)，擋修者請勿選修，不簽同意修課單。
000323031,3.0,中級會計學（一）,Intermediate Accounting (I),徐愛恩,STEPHANIE TSUI,會計系,Department of Accounting,二D56,tue13-16,人偉講堂,必/Required,英文/English,否/No,＠異動資訊Information of alteration:N/A,"＠備註Note:擋修初會（二）,英語授課，ETP優先，不開放加簽。"
000337011,3.0,成本管理會計（一）,Cost and Management Accounting(I),李佳玲,LEE CHIA-LIN,會計系,Department of Accounting,二234,tue09-12,商館260106,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:會二甲，擋修初會（二）。要加簽者，請第一堂課程說明要出席。
000337021,3.0,成本管理會計（一）,Cost and Management Accounting(I),王文英,WANG WEN-YING,會計系,Department of Accounting,二234,tue09-12,學思040202,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:會二乙，擋修初會（二）
000337031,3.0,成本管理會計（一）,Cost and Management Accounting(I),王文英,WANG WEN-YING,會計系,Department of Accounting,二D56,tue13-16,學思040202,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:擋修初會（二），下學期上課時間為三234。
000347001,3.0,財務管理,Financial Management,周冠男,ROBIN CHOU,財管系,Department of Finance,一D56,mon13-16,商館260206,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:先修經濟、初會一年，企管二乙優先
000347021,3.0,財務管理,Financial Management,湛可南,CHAN KONAN,財管系,Department of Finance,五234,fri09-12,商館260106,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:教室異動於2024/09/23;,＠備註Note:先修經濟、初會一年，國貿二甲優先，本課程不加簽。
000347041,3.0,財務管理,Financial Management,盧敬植,LU CHING-CHIH,財管系,Department of Finance,一D56,mon13-16,商館260106,選/Elective,中文,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:先修經濟、初會一學年。加退選原則請詳教學大綱。財管二優先
